created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 19:20:24 +0000 2024;1749149968366199004;"@gibran_tweet Capres tanpa moral Gibran jelas bukan pilihan yg cerdas!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;1;1;in;1712001762914447360;1749099183049687332;ramadhansadaaam;https://twitter.com/ramadhansadaaam/status/1749149968366199004
Sun Jan 21 19:20:23 +0000 2024;1749149964855599139;"@gibran_tweet Capres songong tengil dan cacat moral inikah pemimpin yg diinginkan?  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1717155431305654272;1749099183049687332;baskaraeln;https://twitter.com/baskaraeln/status/1749149964855599139
Sun Jan 21 19:20:23 +0000 2024;1749149964373283087;"@gibran_tweet Rakyat cerdas tak akan terkecoh oleh Gibran yg tanpa etika  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;1;1;in;1717026504885067776;1749099183049687332;dickyprmnn;https://twitter.com/dickyprmnn/status/1749149964373283087
Sun Jan 21 19:20:22 +0000 2024;1749149959897932173;"@FaldoMaldini @gibran_tweet Manusia bodoh.";0;0;0;0;in;782693214;1749036030362263743;KangmasTopan;https://twitter.com/KangmasTopan/status/1749149959897932173
Sun Jan 21 19:20:21 +0000 2024;1749149953782661607;"@gibran_tweet Gibran tanpa etika dan moral bagaimana bisa dipercaya?  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1715221107807330304;1749099183049687332;IyanRabani;https://twitter.com/IyanRabani/status/1749149953782661607
Sun Jan 21 19:20:19 +0000 2024;1749149947411517629;"@gibran_tweet Capres dan cawapres 02 Gibran sama-sama tanpa moral!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1716407529234972672;1749099183049687332;ratudhira;https://twitter.com/ratudhira/status/1749149947411517629
Sun Jan 21 19:20:19 +0000 2024;1749149946723627481;"@gibran_tweet Ponakan MK yg songong tanpa tata krama tanpa etika bagaimana bisa dipercaya?  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1726051966672093184;1749099183049687332;Kayla88A;https://twitter.com/Kayla88A/status/1749149946723627481
Sun Jan 21 19:20:17 +0000 2024;1749149938964144408;"aing pribadi nilai gibran gimiknya nyebelin bgt anying wkwkkwk cringe. tp gibran aja yg kek gt nyebelin apalagi amin 01 kerkom sama 03. td juga sama mahfud sm imin malah podkes, bukannya mereka harusnya debat ya.";0;1;0;0;in;368734294;1749149936753791437;homeIesss;https://twitter.com/homeIesss/status/1749149938964144408
Sun Jan 21 19:20:17 +0000 2024;1749149937315815795;"@nilrofficial @gibran_tweet Anying masih konsisten cebokin 02 wkwkk";0;0;0;0;in;1678463584052088833;1749099183049687332;abnormalfolks;https://twitter.com/abnormalfolks/status/1749149937315815795
Sun Jan 21 19:20:17 +0000 2024;1749149936753791437;"sedikit aneh dgn warga twiter yg tantrum grgr gimik gibran, disisi lain amin kerjasama sama ganjar ngasi nilai ke prabowo wkt debat dinilai gapapa?";0;1;0;0;in;368734294;1749149936753791437;homeIesss;https://twitter.com/homeIesss/status/1749149936753791437
